Date,Open,High,Low,Close,Adj Close,Volume
3/12/2019,7571.850098,7611.129883,7560.459961,7591.029785,7591.029785,2161400000
3/13/2019,7621.379883,7677.069824,7619.459961,7643.410156,7643.410156,2366350000
3/14/2019,7644.790039,7653.100098,7627.02002,7630.910156,7630.910156,2176510000
3/15/2019,7658.410156,7714.959961,7652.040039,7688.529785,7688.529785,3447190000
3/18/2019,7696.379883,7737.669922,7677.740234,7714.47998,7714.47998,2274490000
3/19/2019,7747.399902,7767.890137,7699.149902,7723.950195,7723.950195,2433160000
3/20/2019,7721.950195,7779.240234,7674.040039,7728.970215,7728.970215,2424400000
3/21/2019,7705.430176,7850.109863,7705.430176,7838.959961,7838.959961,2483580000
3/22/2019,7800.25,7817.830078,7642.569824,7642.669922,7642.669922,2490730000
3/25/2019,7618.97998,7662.379883,7579.290039,7637.540039,7637.540039,2130230000
3/26/2019,7700,7738.169922,7649.209961,7691.52002,7691.52002,2068900000
3/27/2019,7702.049805,7712.839844,7582.089844,7643.379883,7643.379883,2221650000
3/28/2019,7660.069824,7689.160156,7619.819824,7669.169922,7669.169922,1902060000
3/29/2019,7726.709961,7733.620117,7688.509766,7729.319824,7729.319824,2233470000
4/1/2019,7800.240234,7831.450195,7777.089844,7828.910156,7828.910156,2198050000
4/2/2019,7824.609863,7854.919922,7811.279785,7848.689941,7848.689941,2110100000
4/3/2019,7891.180176,7938.259766,7870.899902,7895.549805,7895.549805,2487210000
4/4/2019,7894.259766,7917.649902,7844.959961,7891.779785,7891.779785,2094200000
4/5/2019,7914.509766,7940.450195,7909.140137,7938.689941,7938.689941,2148730000
4/8/2019,7924.890137,7955.899902,7891.850098,7953.879883,7953.879883,2069190000
4/9/2019,7924.77002,7945.549805,7897.609863,7909.279785,7909.279785,2067570000
4/10/2019,7922.72998,7965.330078,7916.899902,7964.240234,7964.240234,1998280000
4/11/2019,7975.200195,7975.200195,7933.410156,7947.359863,7947.359863,1956840000
4/12/2019,7984.149902,7992.089844,7952.609863,7984.160156,7984.160156,1955290000
4/15/2019,7987.160156,7993.330078,7933.569824,7976.009766,7976.009766,1816920000
4/16/2019,8000.569824,8017.560059,7978.810059,8000.22998,8000.22998,2095330000
4/17/2019,8044.970215,8052.399902,7973.379883,7996.080078,7996.080078,2290690000
4/18/2019,7998.450195,8002.310059,7950.970215,7998.060059,7998.060059,2089360000
4/22/2019,7969.370117,8017.149902,7965.899902,8015.27002,8015.27002,1776060000
4/23/2019,8026.75,8128.870117,8023.810059,8120.819824,8120.819824,2075070000
4/24/2019,8122.879883,8139.549805,8101.700195,8102.009766,8102.009766,2022490000
4/25/2019,8150.850098,8151.839844,8075.410156,8118.680176,8118.680176,2063270000
4/26/2019,8100.279785,8146.419922,8060.890137,8146.399902,8146.399902,1971270000
4/29/2019,8147.649902,8176.080078,8136.410156,8161.850098,8161.850098,1761110000
4/30/2019,8104.910156,8124.609863,8050.549805,8095.390137,8095.390137,2115770000
5/1/2019,8132.930176,8146,8048.22998,8049.640137,8049.640137,2247420000
5/2/2019,8046.47998,8094.060059,7976.77002,8036.77002,8036.77002,2158600000
5/3/2019,8092.879883,8164.709961,8084.799805,8164,8164,2046040000
5/6/2019,7981.850098,8135.540039,7981.850098,8123.290039,8123.290039,1966120000
5/7/2019,8043.52002,8070.970215,7899.02002,7963.759766,7963.759766,2376660000
5/8/2019,7946.240234,8004.490234,7923.350098,7943.319824,7943.319824,2175100000
5/9/2019,7853.209961,7929.779785,7796.160156,7910.589844,7910.589844,2520770000
5/10/2019,7881.310059,7949.339844,7759.339844,7916.939941,7916.939941,2387720000
5/13/2019,7720.069824,7760.830078,7627.220215,7647.02002,7647.02002,2478860000
5/14/2019,7689.660156,7776.200195,7665.299805,7734.490234,7734.490234,2084850000
5/15/2019,7682.799805,7838.720215,7682.240234,7822.149902,7822.149902,2001530000
5/16/2019,7832.580078,7946.22998,7826.669922,7898.049805,7898.049805,2163120000
5/17/2019,7829.029785,7918.709961,7810.350098,7816.279785,7816.279785,2134120000
5/20/2019,7714.060059,7747.27002,7678.350098,7702.379883,7702.379883,2122410000
5/21/2019,7765.569824,7804.439941,7752.919922,7785.720215,7785.720215,1993210000
5/22/2019,7749.799805,7786.330078,7738.350098,7750.839844,7750.839844,1881830000
5/23/2019,7660.720215,7665.149902,7585.319824,7628.279785,7628.279785,2243420000
5/24/2019,7675.569824,7694.149902,7631.25,7637.009766,7637.009766,1682920000
5/28/2019,7655.660156,7693.740234,7603.759766,7607.350098,7607.350098,2352670000
5/29/2019,7553.02002,7581.109863,7503.939941,7547.310059,7547.310059,2278790000
5/30/2019,7565.459961,7595.899902,7527.660156,7567.720215,7567.720215,1872000000
5/31/2019,7470.950195,7506.859863,7448.22998,7453.149902,7453.149902,2236940000
6/3/2019,7441.209961,7457.660156,7292.220215,7333.02002,7333.02002,2576920000
6/4/2019,7413.939941,7529.5,7385.02002,7527.120117,7527.120117,2369150000
6/5/2019,7585.680176,7589.470215,7498.169922,7575.47998,7575.47998,2115570000
6/6/2019,7582.240234,7634.120117,7546.220215,7615.549805,7615.549805,2070940000
6/7/2019,7652.970215,7767.02002,7647.910156,7742.100098,7742.100098,2066020000
6/10/2019,7798.870117,7895.439941,7795.759766,7823.169922,7823.169922,2049370000
6/11/2019,7901.040039,7909.990234,7798.629883,7822.569824,7822.569824,2114680000
6/12/2019,"7,803.13",7819.16,7773.97,7792.72,,
6/13/2019,7822,7848,7813,7837,,
6/14/2019,7807,7819,7778,7796,,
6/17/2019,7819,7865,7812,7845,,
